FileName,DataSize,ElapsedMilliseconds
1000sorted.txt,1000,0.1358
1000unsorted.txt,1000,2.5593
5000sorted.txt,5000,0.0156
5000unsorted.txt,5000,77.6818
10000sorted.txt,10000,0.0353
10000unsorted.txt,10000,406.0818
50000sorted.txt,50000,0.1853
50000unsorted.txt,50000,9172.3084
75000sorted.txt,75000,0.2901
75000unsorted.txt,75000,20503.0109
100000sorted.txt,100000,0.3132
100000unsorted.txt,100000,36590.4971
500000sorted.txt,500000,1.5813
500000unsorted.txt,500000,919479.8562
1000000sorted.txt,1000000,3.1174
1000000unsorted.txt,1000000,3648247.8206
